mundial,variante,familia,rmse,logloss,accuracy
2010,baseline,glm,1.2139758087326122,1.0121187824148337,0.4791666666666667
2010,baseline,lightgbm,1.10798585923234,1.002956142972857,0.4791666666666667
2010,baseline,xgboost,1.1221764326141985,0.9853202038135929,0.4583333333333333
2010,palmares,glm,1.2128168800690593,1.014280029667762,0.4791666666666667
2010,palmares,lightgbm,1.0978106441904352,1.0039940660586784,0.5
2010,palmares,xgboost,1.1206659980830003,0.9894636651440889,0.5
2014,baseline,glm,1.263324349167723,1.0173923792466806,0.5833333333333334
2014,baseline,lightgbm,1.2502953679804465,1.0010728282428187,0.5625
2014,baseline,xgboost,1.2406846041786275,1.0060868943823282,0.5625
2014,palmares,glm,1.2590892593101097,1.015158081998609,0.5833333333333334
2014,palmares,lightgbm,1.236415559259128,0.980763676152157,0.5833333333333334
2014,palmares,xgboost,1.2252066980353764,0.976453183956797,0.5833333333333334
2018,baseline,glm,1.2068634547052501,1.0402396390569866,0.4897959183673469
2018,baseline,lightgbm,1.1801921682830283,1.0572035301121347,0.4897959183673469
2018,baseline,xgboost,1.1931473832142991,1.0622478577592358,0.4897959183673469
2018,palmares,glm,1.2124435264929558,1.0445145878584805,0.4897959183673469
2018,palmares,lightgbm,1.1786041102703328,1.0541255391564792,0.46938775510204084
2018,palmares,xgboost,1.1883312635223096,1.0370300559316195,0.46938775510204084
2022,baseline,glm,1.3455407221117934,1.135542379272783,0.5306122448979592
2022,baseline,lightgbm,1.2909128557350813,1.081556956016748,0.5102040816326531
2022,baseline,xgboost,1.312776464347879,1.1072948757938526,0.5306122448979592
2022,palmares,glm,1.3419940436993127,1.1261771240141174,0.5306122448979592
2022,palmares,lightgbm,1.2878436159965667,1.074898627640005,0.5102040816326531
2022,palmares,xgboost,1.284948764075266,1.0872688282337624,0.4897959183673469
2026,baseline,glm,1.2721877943988815,0.8942314183870974,0.5972222222222222
2026,baseline,lightgbm,1.3087016878528523,0.9116234430325884,0.6111111111111112
2026,baseline,xgboost,1.316046077161601,0.9144544736876691,0.6111111111111112
2026,palmares,glm,1.2706529299371159,0.8938966062528159,0.5972222222222222
2026,palmares,lightgbm,1.3233887909243216,0.9115700329611153,0.6111111111111112
2026,palmares,xgboost,1.3260515658339145,0.9035859937215167,0.6111111111111112
