variante,familia,rmse,logloss
baseline,glm,1.2721877943988815,0.8942314183870974
baseline,lightgbm,1.3087016878528523,0.9116234430325884
baseline,xgboost,1.316046077161601,0.9144544736876691
sofascore_fill,glm,1.273168192654626,0.895442878402544
sofascore_fill,lightgbm,1.3148319513504305,0.9153796532168142
sofascore_fill,xgboost,1.3207747956209575,0.911326159204227
sofascore_dropna,glm,1.276919764902058,0.9009261139902285
sofascore_dropna,lightgbm,1.3174772035732372,0.918530560886095
sofascore_dropna,xgboost,1.3181935289099391,0.9166270288124375
