seleccion,alcanza_octavos,alcanza_cuartos,alcanza_semis,alcanza_final,campeon
Argentina,0.947,0.8746666666666667,0.7023333333333334,0.41733333333333333,0.25766666666666665
France,1.0,0.863,0.688,0.414,0.22866666666666666
Spain,1.0,0.6793333333333333,0.522,0.30266666666666664,0.20733333333333334
England,1.0,0.5996666666666667,0.327,0.172,0.07566666666666666
Brazil,1.0,0.6093333333333333,0.362,0.176,0.06666666666666667
Portugal,1.0,0.32066666666666666,0.19566666666666666,0.066,0.027666666666666666
Morocco,1.0,0.755,0.21533333333333332,0.094,0.027333333333333334
Colombia,0.925,0.6033333333333334,0.177,0.07333333333333333,0.025
United States,1.0,0.342,0.13333333333333333,0.051666666666666666,0.020666666666666667
Norway,1.0,0.39066666666666666,0.18033333333333335,0.078,0.019
Belgium,1.0,0.658,0.149,0.046,0.016
Mexico,1.0,0.4003333333333333,0.13066666666666665,0.050333333333333334,0.015333333333333332
Switzerland,1.0,0.37933333333333336,0.08766666666666667,0.028666666666666667,0.007333333333333333
Paraguay,1.0,0.137,0.04833333333333333,0.015,0.0026666666666666666
Canada,1.0,0.245,0.04833333333333333,0.010666666666666666,0.0023333333333333335
Egypt,0.6733333333333333,0.07766666666666666,0.021,0.0026666666666666666,0.0003333333333333333
Australia,0.32666666666666666,0.029,0.007,0.001,0.0003333333333333333
Senegal,0.0,0.0,0.0,0.0,0.0
Sweden,0.0,0.0,0.0,0.0,0.0
Netherlands,0.0,0.0,0.0,0.0,0.0
South Africa,0.0,0.0,0.0,0.0,0.0
Algeria,0.0,0.0,0.0,0.0,0.0
Japan,0.0,0.0,0.0,0.0,0.0
Ivory Coast,0.0,0.0,0.0,0.0,0.0
Ghana,0.075,0.017333333333333333,0.0013333333333333333,0.0003333333333333333,0.0
Ecuador,0.0,0.0,0.0,0.0,0.0
DR Congo,0.0,0.0,0.0,0.0,0.0
Croatia,0.0,0.0,0.0,0.0,0.0
Cape Verde,0.053,0.018666666666666668,0.0036666666666666666,0.0003333333333333333,0.0
Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0
Austria,0.0,0.0,0.0,0.0,0.0
Germany,0.0,0.0,0.0,0.0,0.0
